"Station","Depth","Region","SMB","POTW","River","Level1Prob","Level1Inclusion","Level1AreaWt"
"9","M","N","N","Z","Z",0.08,0.0423,23.65
"16","M","N","N","Z","Z",0.08,0.0423,23.65
"32","M","N","N","Z","Z",0.08,0.0423,23.65
"38","M","N","N","Z","Z",0.08,0.0423,23.65
"46","M","N","N","Z","Z",0.08,0.0423,23.65
"59","M","N","N","Z","Z",0.08,0.0423,23.65
"60","M","N","N","Z","Z",0.08,0.0423,23.65
"85","M","N","N","Z","Z",0.08,0.0423,23.65
"103","M","N","N","Z","Z",0.08,0.0423,23.65
"112","M","N","N","Z","Z",0.08,0.0423,23.65
"115","M","N","N","Z","Z",0.08,0.0423,23.65
"122","M","N","N","Z","Z",0.08,0.0423,23.65
"136","M","N","N","Z","Z",0.08,0.0423,23.65
"150","M","N","N","Z","Z",0.08,0.0423,23.65
"161","S","N","N","Z","Z",0.08,0.0423,23.65
"189","M","N","N","Z","Z",0.08,0.0423,23.65
"228","M","N","N","Z","Z",0.08,0.0423,23.65
"232","M","N","N","Z","Z",0.08,0.0423,23.65
"234","M","N","N","Z","Z",0.08,0.0423,23.65
"245","D","N","N","Z","Z",0.08,0.0423,23.65
"252","M","N","N","Z","Z",0.08,0.0423,23.65
"255","D","N","N","Z","Z",0.08,0.0423,23.65
"278","D","N","N","Z","Z",0.08,0.0423,23.65
"289","M","N","N","Z","Z",0.08,0.0423,23.65
"297","M","N","N","Z","Z",0.08,0.0423,23.65
"334","M","N","N","Z","Z",0.08,0.0423,23.65
"360","M","N","N","Z","Z",0.08,0.0423,23.65
"365","M","N","N","Z","Z",0.08,0.0423,23.65
"366","S","N","N","Z","Z",0.08,0.0423,23.65
"371","M","N","N","Z","Z",0.08,0.0423,23.65
"381","D","N","N","Z","Z",0.08,0.0423,23.65
"398","M","N","N","Z","Z",0.08,0.0423,23.65
"407","M","N","N","Z","Z",0.08,0.0423,23.65
"446","D","N","N","Z","Z",0.08,0.0423,23.65
"460","M","N","N","Z","Z",0.08,0.0423,23.65
"474","M","N","N","Z","Z",0.08,0.0423,23.65
"480","D","N","N","Z","Z",0.08,0.0423,23.65
"499","D","N","N","Z","Z",0.08,0.0423,23.65
"502","M","N","N","Z","Z",0.08,0.0423,23.65
"503","M","N","N","Z","Z",0.08,0.0423,23.65
"530","S","N","N","Z","A",0.7,0.37,2.7029
"533","S","N","N","Z","A",0.7,0.37,2.7029
"535","M","N","N","Z","Z",0.08,0.0423,23.65
"537","M","N","N","Z","Z",0.08,0.0423,23.65
"540","S","N","N","Z","A",0.7,0.37,2.7029
"542","M","N","N","Z","Z",0.08,0.0423,23.65
"552","S","N","N","Z","B",0.7,0.37,2.7029
"560","S","N","N","Z","B",0.7,0.37,2.7029
"577","D","N","N","Z","Z",0.08,0.0423,23.65
"595","S","N","N","Z","B",0.7,0.37,2.7029
"604","D","N","N","Z","Z",0.08,0.0423,23.65
"617","S","N","N","Z","B",0.7,0.37,2.7029
"621","M","N","N","Z","Z",0.08,0.0423,23.65
"652","S","N","N","Z","Z",0.08,0.0423,23.65
"661","M","N","N","Z","Z",0.08,0.0423,23.65
"665","S","N","N","Z","Z",0.08,0.0423,23.65
"670","D","N","N","Z","Z",0.08,0.0423,23.65
"682","D","N","N","Z","Z",0.08,0.0423,23.65
"708","D","N","N","Z","Z",0.08,0.0423,23.65
"714","M","N","N","Z","Z",0.08,0.0423,23.65
"739","D","N","N","Z","Z",0.08,0.0423,23.65
"753","D","N","N","Z","Z",0.08,0.0423,23.65
