"Log Number","QA Batch","Species","Phase","Dilution","ControlCode","Endpoint","Lab Rep","Start Count","Value","QA code","Lab Code"
"PECST30010","AA16","AB","SP",,"PECST30010","NA",1,20,20,"A","SC"
"PECST30010","AA16","AB","SP",,"PECST30010","NA",2,20,18,"A","SC"
"PECST30010","AA16","AB","SP",,"PECST30010","NA",3,20,18,"A","SC"
"PECST30010","AA16","AB","SP",,"PECST30010","NA",4,20,20,"A","SC"
"PECST30010","AA16","AB","SP",,"PECST30010","NA",5,20,20,"A","SC"
"PECST30020","AA16","AB","SP",,"PECST30010","NA",1,20,20,"A","SC"
"PECST30020","AA16","AB","SP",,"PECST30010","NA",2,20,20,"A","SC"
"PECST30020","AA16","AB","SP",,"PECST30010","NA",3,20,20,"A","SC"
"PECST30020","AA16","AB","SP",,"PECST30010","NA",4,20,20,"A","SC"
"PECST30020","AA16","AB","SP",,"PECST30010","NA",5,20,18,"A","SC"
"PECST30030","AA18","AB","SP",,"PECST30030","NA",4,20,19,"A","SC"
"PECST30030","AA18","AB","SP",,"PECST30030","NA",2,20,19,"A","SC"
"PECST30030","AA18","AB","SP",,"PECST30030","NA",1,20,19,"A","SC"
"PECST30030","AA18","AB","SP",,"PECST30030","NA",5,20,18,"A","SC"
"PECST30030","AA18","AB","SP",,"PECST30030","NA",3,20,18,"A","SC"
"PECST30040","AA20","AB","SP",,"PECST30040","NA",5,20,18,"A","SC"
"PECST30040","AA20","AB","SP",,"PECST30040","NA",2,20,19,"A","SC"
"PECST30040","AA20","AB","SP",,"PECST30040","NA",1,20,18,"A","SC"
"PECST30040","AA20","AB","SP",,"PECST30040","NA",3,20,19,"A","SC"
"PECST30040","AA20","AB","SP",,"PECST30040","NA",4,20,17,"A","SC"
"PECST30050","AA22","AB","SP",,"PECST30050","NA",4,20,19,"A","SC"
"PECST30050","AA22","AB","SP",,"PECST30050","NA",3,20,17,"A","SC"
"PECST30050","AA22","AB","SP",,"PECST30050","NA",2,20,18,"A","SC"
