LOGNUM,MeanNH3,ID,MEANNORM,1%CI
PSCST00160,0.0524,TOXIC,52.79,62.42813
PSCST00320,0.0428,TOXIC,0,78.47
PSCST00380,0.0934,IND,1.2,-6.65391
PSCST01150,0.147,IND,0,-12.8688
PSCST01500,0.1,IND,1.51,-7.68551
PSCST02280,0.0151,TOXIC,0,82.256
PSCST02450,0.152,IND,0,-13.0515
PSCST02520,0.0249,NOTTOX,94.51,82.32251
PSCST03650,0.0234,TOXIC,59.58,82.302
PSCST03660,0.0323,NOTTOX,93.7,82.38035
PSCST04070,0.012,TOXIC,78.81,82.24949
PSCST04740,0.0105,NOTTOX,104.86,82.249
PSCST04800,0.0137,NOTTOX,103.27,82.25065
PSCST06700,0.0296,NOTTOX,99.28,82.39264
PSCST06820,0.0128,NOTTOX,96.09,82.24993
PSCST07080,0.0609,NOTTOX,51.04,43.91388
PSCST07530,0.0439,TOXIC,38.46,77.28815
PSCST07580,0.0738,NOTTOX,10.18,9.624736
PSCST08140,0.1053,IND,0,-8.53039
PSCST08150,0.0608,TOXIC,17.94,44.14784
PSCST08200,0.0861,IND,0,-4.69182
PSCST08460,0.0512,TOXIC,30.7,64.92602
PHYST09430,0.0211,NOTTOX,103.53,82.27837
PHYST09600,0.0354,NOTTOX,98.43,82.15796
PHYST09930,0.0378,NOTTOX,104.71,81.63585
PHYST10280,0.0226,NOTTOX,101.18,82.29269
PHYST10490,0.1638,IND,0,-13.2223
PHYST10720,0.0814,NOTTOX,20,-1.69673
PHYST10810,0.139,IND,0,-12.5593
PHYST11060,0.038,TOXIC,75.79,81.57087
PHYST11080,0.0705,TOXIC,3.77,17.71193
PHYST11090,0.0756,TOXIC,0.38,6.022804
PHYST11260,0.0295,TOXIC,39.97,82.39169
PLAST11420,0.0377,NOTTOX,84.45,81.66689
PHYST11480,0.0233,TOXIC,81.07,82.30077
PHYST11520,0.0249,TOXIC,63.8,82.32251
PLAST11690,0.0199,NOTTOX,94.54,82.26966
PLAST11730,0.0686,NOTTOX,48.95,23.02759
PLAST11750,0.0139,NOTTOX,100.15,82.25085
PLAST12080,0.0327,NOTTOX,104.06,82.36871
PLAST12670,0.1819,IND,0,-13.388
POCST13060,0.1783,IND,0.83,-13.3609
PLAST13320,0.1712,IND,0,-13.3294
POCST13480,0.1855,IND,0.41,-13.4458
POCST13550,0.1955,IND,1.66,
POCST14010,0.1066,NOTTOX,65.92,-10.866
POCST14060,0.1592,IND,0.41,-13.1409
POCST14150,0.169,IND,0.83,-13.2516
POCST14170,0.0569,NOTTOX,101.16,52.80483
POCST14180,0.0595,NOTTOX,104.48,47.11679
POCST14260,0.0639,NOTTOX,97.43,36.39904
POCST14500,0.0205,NOTTOX,104.06,82.27373
POCST14690,0.0195,NOTTOX,109.04,82.26724
POCST16170,0.1353,IND,2.07,-12.3391
POCST16550,0.01,NOTTOX,102.82,82.2489
PSDST17340,0.0533,NOTTOX,69.51,60.52322
PSDST17670,0.0319,NOTTOX,102.35,82.38868
PSDST17690,0.0602,NOTTOX,81.96,45.53369
PSDST17700,0.0401,NOTTOX,104.71,80.6192
PSDST17760,0.1435,IND,0,-12.7016
PSDST17940,0.0219,NOTTOX,87.44,82.28551
PSDST17970,0.0592,NOTTOX,85.88,47.78606
PSDST18250,0.0435,NOTTOX,77.35,77.74936
PSDST18280,0.0363,NOTTOX,85.95,82.01118
PSDST18330,0.0395,TOXIC,66.14,80.94603
PSDST18390,0.1212,IND,1.49,-12.1204
PSDST18500,0.0614,NOTTOX,62.41,42.73002
PSDST18710,0.0839,NOTTOX,37.65,-3.55416
PSDST18740,0.0204,NOTTOX,96.41,82.27301
PSDST19030,0.0269,NOTTOX,95.67,82.35438
