"StationID","QABatch","Matrix","Dilution","Concentration","ConcentrationUnits","TimePoint","Parameter","Qualifier","Value","ValueUnits","LabRep","LabCode","Comments"
"0000","1","OL",-99.00,-99.00,"NR",0.00,"DO","None",9.40,"MG/L","0","ABC",
"0000","1","OL",-99.00,-99.00,"NR",10.00,"DO","None",9.00,"MG/L","0","ABC",
"0000","1","OL",-99.00,-99.00,"NR",0.00,"NH3T","<",0.10,"MG/L","0","ABC",
"0000","1","OL",-99.00,-99.00,"NR",10.00,"NH3T","<",0.10,"MG/L","0","ABC",
"0000","1","OL",-99.00,-99.00,"NR",0.00,"NH3U","<",1.0e-03,"MG/L","0","ABC",
"0000","1","OL",-99.00,-99.00,"NR",10.00,"NH3U","<",1.0e-03,"MG/L","0","ABC",
"0000","1","OL",-99.00,-99.00,"NR",0.00,"PH","None",7.60,"pH","0","ABC",
"0000","1","OL",-99.00,-99.00,"NR",10.00,"PH","None",7.80,"pH","0","ABC",
"0000","1","OL",-99.00,-99.00,"NR",0.00,"SAL","None",20.00,"PPT","0","ABC",
"0000","1","OL",-99.00,-99.00,"NR",10.00,"SAL","None",20.00,"PPT","0","ABC",
"0000","1","OL",-99.00,-99.00,"NR",0.00,"TEMP","None",15.50,"C","0","ABC",
"0000","1","OL",-99.00,-99.00,"NR",10.00,"TEMP","None",14.60,"C","0","ABC",
"0000","10","OL",-99.00,-99.00,"NR",0.00,"DO","None",9.60,"MG/L","0","ABC",
"0000","10","OL",-99.00,-99.00,"NR",10.00,"DO","None",7.30,"MG/L","0","ABC",
"0000","10","IW",-99.00,-99.00,"NR",0.00,"NH3T","<",0.10,"MG/L","0","ABC",
"0000","10","IW",-99.00,-99.00,"NR",10.00,"NH3T","<",0.10,"MG/L","0","ABC",
"0000","10","OL",-99.00,-99.00,"NR",0.00,"NH3T","<",0.10,"MG/L","0","ABC",
"0000","10","OL",-99.00,-99.00,"NR",10.00,"NH3T","<",0.10,"MG/L","0","ABC",
"0000","10","IW",-99.00,-99.00,"NR",0.00,"NH3U","<",1.0e-03,"MG/L","0","ABC",
"0000","10","IW",-99.00,-99.00,"NR",10.00,"NH3U","<",1.0e-03,"MG/L","0","ABC",
"0000","10","OL",-99.00,-99.00,"NR",0.00,"NH3U","<",1.0e-03,"MG/L","0","ABC",
"0000","10","OL",-99.00,-99.00,"NR",10.00,"NH3U","<",1.0e-03,"MG/L","0","ABC",
"0000","10","IW",-99.00,-99.00,"NR",0.00,"PH","None",7.70,"PH","0","ABC",
"0000","10","IW",-99.00,-99.00,"NR",10.00,"PH","None",7.60,"PH","0","ABC",
"0000","10","OL",-99.00,-99.00,"NR",0.00,"pH","None",7.50,"pH","0","ABC",
"0000","10","OL",-99.00,-99.00,"NR",10.00,"pH","None",7.90,"pH","0","ABC",
"0000","10","IW",-99.00,-99.00,"NR",0.00,"SAL","None",21.00,"PPT","0","ABC",
"0000","10","IW",-99.00,-99.00,"NR",10.00,"SAL","None",21.00,"PPT","0","ABC",
"0000","10","OL",-99.00,-99.00,"NR",0.00,"SAL","None",21.00,"PPT","0","ABC",
"0000","10","OL",-99.00,-99.00,"NR",10.00,"SAL","None",20.00,"PPT","0","ABC",
"0000","10","IW",-99.00,-99.00,"NR",0.00,"TEMP","None",14.20,"C","0","ABC",
"0000","10","IW",-99.00,-99.00,"NR",10.00,"TEMP","None",14.70,"C","0","ABC",
"0000","10","OL",-99.00,-99.00,"NR",0.00,"TEMP","None",14.20,"C","0","ABC",
"0000","10","OL",-99.00,-99.00,"NR",10.00,"TEMP","None",14.40,"C","0","ABC",
"0000","11","RT",-99.00,0.00,"MG/L",0.00,"DO","None",9.10,"MG/L","0","ABC",
"0000","11","RT",-99.00,0.00,"MG/L",1.00,"DO","None",9.00,"MG/L","0","ABC",
"0000","11","RT",-99.00,0.00,"MG/L",2.00,"DO","None",9.00,"MG/L","0","ABC",
"0000","11","RT",-99.00,0.00,"MG/L",3.00,"DO","None",9.00,"MG/L","0","ABC",
"0000","11","RT",-99.00,0.00,"MG/L",4.00,"DO","None",9.00,"MG/L","0","ABC",
"0000","11","RT",-99.00,0.32,"MG/L",0.00,"DO","None",9.30,"MG/L","0","ABC",
"0000","11","RT",-99.00,0.32,"MG/L",1.00,"DO","None",9.10,"MG/L","0","ABC",
