"StationID","SampleDepth","SampleDepthUnits","SampleDate","SampleTime","SampleTimeZone","GrabEventNumber","SamplingOrganization","GearCode","Latitude","Longitude","Datum","Penetration","PenetrationUnits","Color","Composition","Odor","BenthicInfauna","SedimentChemistry","Toxicity","GrainSize","DistanceToTarget","GrabFailCode","Comments"
"7002","35","m",7/3/2008 0:00:00,12/30/1899 9:57:00,"PDT",1,"CSD","TVV","32.55097","-117.19907","NAD83",14,"cm","Gray","Silt/Clay","None",1,0,0,0,,"None",
"7002","35","m",7/3/2008 0:00:00,12/30/1899 9:57:00,"PDT",2,"CSD","TVV","32.55097","-117.19907","NAD83",14,"cm","Gray","Silt/Clay","None",0,1,0,1,,"None",
"7002","35","m",7/3/2008 0:00:00,12/30/1899 10:07:00,"PDT",3,"CSD","TVV","32.55097","-117.19866","NAD83",12,"cm","Gray","Silt/Clay","None",0,0,1,0,,"None",
"7002","35","m",7/3/2008 0:00:00,12/30/1899 10:07:00,"PDT",4,"CSD","TVV","32.55097","-117.19866","NAD83",12,"cm","Gray","Silt/Clay","None",0,0,1,0,,"None",
"7005","-99","m",7/3/2008 0:00:00,12/30/1899 0:00:00,"PDT",-99,"CSD","TVV","-99","-99","NAD83",-99,"cm","NR","NR","NR",0,0,0,0,,"M","No grab attempted at site"
"7021","20","m",7/3/2008 0:00:00,12/30/1899 8:48:00,"PDT",1,"CSD","TVV","32.61387","-117.17806","NAD83",0,"cm","NR","NR","NR",0,0,0,0,,"E","< 5 cm Penetration"
"7021","21","m",7/3/2008 0:00:00,12/30/1899 8:56:00,"PDT",2,"CSD","TVV","32.61322","-117.17781","NAD83",0,"cm","NR","NR","NR",0,0,0,0,,"B","Washed"
"7021","20","m",7/3/2008 0:00:00,12/30/1899 9:01:00,"PDT",3,"CSD","TVV","32.61357","-117.17748","NAD83",5,"cm","Gray","Fine Sand","None",1,0,0,0,,"None",
"7021","20","m",7/3/2008 0:00:00,12/30/1899 9:01:00,"PDT",4,"CSD","TVV","32.61357","-117.17748","NAD83",5,"cm","Gray","Fine Sand","None",0,1,0,1,,"None",
"7024","10","m",7/3/2008 0:00:00,12/30/1899 8:27:00,"PDT",1,"CSD","TVV","32.62178","-117.14213","NAD83",6,"cm","Gray","Fine Sand","None",1,0,0,0,,"None",
"7024","10","m",7/3/2008 0:00:00,12/30/1899 8:27:00,"PDT",2,"CSD","TVV","32.62178","-117.14213","NAD83",6,"cm","Gray","Fine Sand","None",0,1,0,1,,"None",
"7044","10","m",7/3/2008 0:00:00,12/30/1899 7:30:00,"PDT",1,"CSD","TVV","32.66413","-117.20006","NAD83",7,"cm","Light Brown","Fine Sand","None",1,0,0,0,,"None",
"7044","10","m",7/3/2008 0:00:00,12/30/1899 7:30:00,"PDT",2,"CSD","TVV","32.66413","-117.20006","NAD83",7,"cm","Light Brown","Fine Sand","None",0,1,0,1,,"None",
"7008","181","m",7/8/2008 0:00:00,12/30/1899 10:33:00,"PDT",1,"CSD","TVV","32.58628","-117.34124","NAD83",13,"cm","Olive Green","Silt/Clay","None",1,0,0,0,,"None",
"7008","181","m",7/8/2008 0:00:00,12/30/1899 10:33:00,"PDT",2,"CSD","TVV","32.58628","-117.34124","NAD83",13,"cm","Olive Green","Silt/Clay","None",0,1,0,1,,"None",
"7008","181","m",7/8/2008 0:00:00,12/30/1899 10:49:00,"PDT",3,"CSD","TVV","32.5863","-117.3415","NAD83",15,"cm","Olive Green","Silt/Clay","None",0,0,1,0,,"None",
"7008","181","m",7/8/2008 0:00:00,12/30/1899 10:49:00,"PDT",4,"CSD","TVV","32.5863","-117.3415","NAD83",15,"cm","Olive Green","Silt/Clay","None",0,0,1,0,,"None",
"7009","57","m",7/8/2008 0:00:00,12/30/1899 8:01:00,"PDT",1,"CSD","TVV","32.58907","-117.26339","NAD83",8,"cm","Olive Green","Coarse Sand","None",1,0,0,0,,"None",
"7009","57","m",7/8/2008 0:00:00,12/30/1899 8:01:00,"PDT",2,"CSD","TVV","32.58907","-117.26339","NAD83",8,"cm","Olive Green","Coarse Sand","None",0,1,0,1,,"None",
"7009","57","m",7/8/2008 0:00:00,12/30/1899 8:22:00,"PDT",3,"CSD","TVV","32.58871","-117.26344","NAD83",0,"cm","NR","NR","NR",0,0,0,0,,"C","Poor Closure"
