"QABatch","LabCode","Species","Protocol","TestDate","Matrix","TestDuration","TestDurationUnits","Temperature","TemperatureUnits","TestAcceptability","Comments"
"0807-S153","NE","EE","EPA 1994",7/22/2008 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"0808-S081","NE","MG","Anderson1996",8/26/2008 0:00:00,"SWI",2.00,"Days",15.00,"C","A",
"0808-S161","NE","EE","EPA 1994",8/12/2008 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"0809-S099","NE","MG","Anderson1996",9/17/2008 0:00:00,"SWI",2.00,"Days",15.00,"C","AJ",
"0809-S251","NE","MG","Anderson1996",10/20/2008 0:00:00,"SWI",2.00,"Days",15.00,"C","A",
"B0807071batch1a.E","CLAEMD","EE","EPA 1994",7/15/2008 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"B0807071batch2a.E","CLAEMD","EE","EPA 1994",7/29/2008 0:00:00,"BS",10.00,"Days",15.00,"C","J","Temperature < 0.2C out of acceptability range for a few hours during of test duration -- remedied"
"B0808071batch2b.E","CLAEMD","EE","EPA 1994",8/1/2008 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"B0808071batch3a.E","CLAEMD","EE","EPA 1994",8/12/2008 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"B0808071batch3b.E","CLAEMD","EE","EPA 1994",8/14/2008 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"B0809071batch4a.E","CLAEMD","EE","EPA 1994",9/22/2008 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"B0809071batch4b.E","CLAEMD","EE","EPA 1994",9/23/2008 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"B08EE082008","WS","EE","EPA 1994",8/20/2008 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"B08EE082608","WS","EE","EPA 1994",8/26/2008 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"B08EE090208","WS","EE","EPA 1994",9/2/2008 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"B08EE090508","WS","EE","EPA 1994",9/5/2008 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"B08EE090908","WS","EE","EPA 1994",9/9/2008 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"B08EE100708","WS","EE","EPA 1994",10/7/2008 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"B08EEAH","WS","EE","EPA 1994",7/18/2008 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"B08EEBL","WS","EE","EPA 1994",8/5/2008 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"B08EELPLSELTJR","WS","EE","EPA 1994",7/29/2008 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"B08EESDR","WS","EE","EPA 1994",8/5/2008 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"B08EESEL6242","WS","EE","EPA 1994",7/29/2008 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"B08EESM","WS","EE","EPA 1994",9/9/2008 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"B08EESW","WS","EE","EPA 1994",7/18/2008 0:00:00,"BS",10.00,"Days",15.00,"C","A",
"B08MG01","WS","MG","Anderson1996",8/12/2008 0:00:00,"SWI",2.00,"Days",15.00,"C","A",
"B08MG02","WS","MG","Anderson1996",8/12/2008 0:00:00,"SWI",2.00,"Days",15.00,"C","A",
"B08MG03","WS","MG","Anderson1996",8/12/2008 0:00:00,"SWI",2.00,"Days",15.00,"C","A",
"B08MG04","WS","MG","Anderson1996",8/22/2008 0:00:00,"SWI",2.00,"Days",15.00,"C","A",
"B08MG05","WS","MG","Anderson1996",8/22/2008 0:00:00,"SWI",2.00,"Days",15.00,"C","D","debris found in one replicate of controls; possible contamination"
"B08MG06","WS","MG","Anderson1996",8/22/2008 0:00:00,"SWI",2.00,"Days",15.00,"C","A",
"B08MG07","WS","MG","Anderson1996",8/22/2008 0:00:00,"SWI",2.00,"Days",15.00,"C","A",
"B08MG08","WS","MG","Anderson1996",8/27/2008 0:00:00,"SWI",2.00,"Days",15.00,"C","A",
"B08MG09","WS","MG","Anderson1996",8/27/2008 0:00:00,"SWI",2.00,"Days",15.00,"C","D","likely contamination in control; 2 replicates with 0 normal"
"B08MG091008","WS","MG","ANDERSON1996",9/10/2008 0:00:00,"SWI",2.00,"Days",15.00,"C","A",
"B08MG09R","WS","MG","Anderson1996",9/17/2008 0:00:00,"SWI",2.00,"Days",15.00,"C","A",
"B08MG10","WS","MG","Anderson1996",8/27/2008 0:00:00,"SWI",2.00,"Days",15.00,"C","A",
"B08MG11","WS","MG","Anderson1996",8/27/2008 0:00:00,"SWI",2.00,"Days",15.00,"C","A",
