"StationID","SampleDepth","SampleDepthUnits","SampleType","QABatch","Matrix","LabCode","Species","Dilution","Concentration","ConcentrationUnits","EndPoint","LabRep","Value","ValueUnits","QACode","Comments"
"GS00",,,"QA","B0809071batch4a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",4,"90","PERCENT","A","Grain size control"
"GS00",,,"QA","B0809071batch4a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",5,"80","PERCENT","A","Grain size control"
"GS00",,,"QA","B0807071batch1a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",1,"75","PERCENT","A","Grain size control"
"GS00",,,"QA","B0807071batch1a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",2,"80","PERCENT","A","Grain size control"
"GS00",,,"QA","B0807071batch1a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",3,"85","PERCENT","A","Grain size control"
"GS00",,,"QA","B0807071batch1a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",4,"90","PERCENT","A","Grain size control"
"GS00",,,"QA","B0807071batch1a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",5,"85","PERCENT","A","Grain size control"
"GS00",,,"QA","B0807071batch2a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",1,"85","PERCENT","A","Grain size control"
"GS00",,,"QA","B0807071batch2a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",2,"65","PERCENT","A","Grain size control"
"GS00",,,"QA","B0807071batch2a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",3,"75","PERCENT","A","Grain size control"
"GS00",,,"QA","B0807071batch2a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",4,"85","PERCENT","A","Grain size control"
"GS00",,,"QA","B0807071batch2a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",5,"75","PERCENT","A","Grain size control"
"GS00",,,"QA","B0808071batch3a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",1,"100","PERCENT","A","Grain size control"
"GS00",,,"QA","B0808071batch3a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",2,"90","PERCENT","A","Grain size control"
"GS00",,,"QA","B0808071batch3a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",3,"95","PERCENT","A","Grain size control"
"GS00",,,"QA","B0808071batch3a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",4,"100","PERCENT","A","Grain size control"
"GS00",,,"QA","B0808071batch3a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",5,"90","PERCENT","A","Grain size control"
"GS00",,,"QA","B0809071batch4a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",1,"95","PERCENT","A","Grain size control; 40 amphipods exposed in replicate -- percent survival = (# survived/40) * 100"
"GS00",,,"QA","B0809071batch4a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",2,"95","PERCENT","A","Grain size control"
"GS00",,,"QA","B0809071batch4a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",3,"100","PERCENT","A","Grain size control"
"0000",,,"CNEG","B0807071batch1a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",1,"95","PERCENT","A",
"0000",,,"CNEG","B0807071batch1a.E","BS","CLAEMD","EE",-99.00,-99.00,"NR","SP10",2,"90","PERCENT","A",
