StationID,LabCode,SampleType,QABatch,Species,Dilution,Concentration,EPCode,Units,StatisticalTest,Mean,N,StdDev,PctControl,SigEffect,QACode,Comment
6001,WS,Result,B08EELPLSELTJR,EE,-99,-99,SP10,PERCENT,t-test,82,5,4.47213,90.7749,SC,A,
6001,WS,Result,B08MGTJR,MG,-99,-99,NPA,PERCENT,t-test,79.8,5,8.31865,89.86486,NSC,A,
6004,WS,Result,B08EELPLSELTJR,EE,-99,-99,SP10,PERCENT,t-test,83,5,4.47213,91.88191,SC,A,
6004,WS,Result,B08MGTJR,MG,-99,-99,NPA,PERCENT,t-test,88.4,5,6.65582,99.54955,NSC,A,
6009,WS,Result,B08EELPLSELTJR,EE,-99,-99,SP10,PERCENT,t-test,81,5,6.5192,89.6679,SC,A,
6009,WS,Result,B08MGTJR,MG,-99,-99,NPA,PERCENT,t-test,0,5,0,0,SC,A,
6010,WS,Result,B08EELPLSELTJR,EE,-99,-99,SP10,PERCENT,t-test,79,5,8.21583,87.45387,SC,A,
6010,WS,Result,B08MGTJR,MG,-99,-99,NPA,PERCENT,t-test,84.4,5,3.36154,95.04504,NSC,A,
6012,WS,Result,B08EELPLSELTJR,EE,-99,-99,SP10,PERCENT,t-test,86,5,5.47722,95.20294,NSC,A,
6012,WS,Result,B08MGTJR,MG,-99,-99,NPA,PERCENT,t-test,84.8,5,6.41872,95.49549,NSC,A,
6015,WS,Result,B08EE090908,EE,-99,-99,SP10,PERCENT,t-test,78,5,11.51086,80.82901,SC,A,
6015,WS,Result,B08MG15,MG,-99,-99,NPA,PERCENT,t-test,91.4,5,11.73882,90.49504,NSC,A,
6017,WS,Result,B08EE090908,EE,-99,-99,SP10,PERCENT,t-test,87,5,7.58287,90.15544,SC,A,
6017,WS,Result,B08MG15,MG,-99,-99,NPA,PERCENT,t-test,99.19999,5,6.6858,98.21781,NSC,A,
6025,WS,Result,B08EE090908,EE,-99,-99,SP10,PERCENT,t-test,86,5,11.40175,89.11917,NSC,A,
6025,WS,Result,B08MG15,MG,-99,-99,NPA,PERCENT,t-test,90.4,5,7.92464,89.50495,SC,A,
