Station,Latitude (north),Longitude (west),Stratum,Depth (m),Region,Survival (%Control),Embryo Develop./Surv. (%Control),Integrated Toxicity Category,Fines (0/0),TOC (%),,
6001,32.5566,-116.8718,Estuary,0.9,Tijuana River Estuary,91,90,2,0,0.11,,
6004,32.5574,-117.1224,Estuary,0.8,Tijuana River Estuary,92,100,2,13.7,0.18,,
6009,32.5592,-117.116,Estuary,0.6,Tijuana River Estuary,90,0,3,9.5,0.38,,
6010,32.5594,-117.1112,Estuary,0.6,Tijuana River Estuary,87,95,2,3,0.06,,
6012,32.5624,-117.1084,Estuary,0.8,Tijuana River Estuary,95,95,1,4,0.35,,
6015,32.6076,-117.1224,Bay,1.8,San Diego Bay,81,90,2,76.7,1.82,,
6017,32.6084,-117.1114,Bay,1.5,San Diego Bay,90,98,2,50.3,0.35,,
6025,32.6235,-117.1337,Marina,3.7,San Diego Bay,89,90,1,57.4,0.9,,
6027,32.6265,-117.1347,Marina,3.5,San Diego Bay,91,97,2,63.4,0.99,,
6031,32.6325,-117.1357,Bay,1.8,San Diego Bay,92,91,1,65.3,1.12,,
6039,32.6469,-117.1196,Bay,12.6,San Diego Bay,95,90,1,61.4,0.68,,
6040,32.6472,-117.1178,Bay,11.2,San Diego Bay,91,79,2,57.4,0.79,,
6041,32.6475,-117.1169,Bay,10.8,San Diego Bay,90,90,2,55.8,0.8,,
6042,32.6475,-117.1213,Port,12.2,San Diego Bay,83,93,2,65,0.54,,
6044,32.6482,-117.1145,Estuary,12.1,San Diego Bay,81,86,3,67.8,1.09,,
6045,32.6483,-117.1161,Estuary,11,San Diego Bay,90,99,2,67.1,1.09,,
6046,32.6488,-117.1139,Estuary,11.8,San Diego Bay,88,85,2,56.8,0.72,,
6047,32.6493,-117.11,Estuary,4.6,San Diego Bay,80,89,2,75.3,1.05,,
6049,32.6489,-117.1128,Estuary,10.8,San Diego Bay,95,85,2,67.7,1.05,,
6052,32.6511,-117.1031,Estuary,2.3,Sweetwater River,61,113,2,71.5,1.29,,
6054,32.6514,-117.1229,Port,11.8,San Diego Bay,86,94,2,72.2,0.89,,
6057,32.6521,-117.1005,Estuary,1.7,Sweetwater River,80,105,2,78.4,1.77,,
6060,32.6537,-117.0949,Estuary,1,Sweetwater River,72,116,2,68.8,1.15,,
6065,32.655,-117.0913,Estuary,1.2,Sweetwater River,71,111,2,60.7,1.12,,
6068,32.6556,-117.1254,Port,9.7,San Diego Bay,91,78,1,75.5,1.12,,
6069,32.6566,-117.0871,Estuary,1.5,Sweetwater River,92,110,1,2.9,0.24,,
6071,32.6583,-117.1442,Bay,5.1,San Diego Bay,73,99,2,78.7,0.99,,
6072,32.6589,-117.1193,Port,5.6,San Diego Bay,89,102,2,61.7,0.71,,
6075,32.6599,-117.1224,Port,6.6,San Diego Bay,92,84,2,48.6,1.16,,
6080,32.6649,-117.1498,Bay,4.6,San Diego Bay,88,99,2,53.2,0.55,,
6083,32.6703,-117.1548,Bay,4.4,San Diego Bay,85,91,2,81.7,0.8,,
6084,32.6704,-117.1365,Bay,4.8,San Diego Bay,94,99,1,31.5,0.22,,
6085,32.671,-117.1238,Port,12.2,San Diego Bay,98,96,1,84.5,1.14,,
6086,32.6712,-117.1306,Port,8,San Diego Bay,86,87,2,83.4,1.14,,
6087,32.6716,-117.1262,Port,12.6,San Diego Bay,96,93,1,67.9,0.84,,
6090,32.6735,-117.1364,Bay,4.5,San Diego Bay,100,93,1,44.7,0.51,,
6093,32.6754,-117.1438,Bay,4.6,San Diego Bay,95,100,1,39.5,0.54,,
6094,32.6754,-117.1288,Port,11.4,San Diego Bay,96,81,2,81.6,1.19,,
6106,32.681,-117.1453,Bay,4.5,San Diego Bay,101,86,2,28,0.21,,
6110,32.6827,-117.1384,Port,12,San Diego Bay,96,65,2,60.5,0.61,,
6113,32.6847,-117.1354,Port,10.5,San Diego Bay,100,D,NA,73.8,1.21,,
6115,32.6853,-117.1365,Port,10,San Diego Bay,95,D,NA,24.4,0.58,,
6116,32.6856,-117.134,Port,10.8,San Diego Bay,94,102,1,80.6,2.03,,
6119,32.6867,-117.1337,Port,10,San Diego Bay,99,96,1,57.6,1.35,,
6120,32.687,-117.1341,Port,8.2,San Diego Bay,95,94,1,73,2.24,,
6125,32.6881,-117.1382,Port,7.9,San Diego Bay,90,94,1,91.6,1.86,,
6127,32.69,-117.14,Port,12.6,San Diego Bay,91,92,2,91.3,2.33,,
6128,32.6914,-117.2382,Port,14.4,San Diego Bay,101,106,1,80.4,1.92,,
6129,32.6916,-117.1529,Port,12.6,San Diego Bay,98,78,2,18,0.13,,
6130,32.6942,-117.2378,Port,12.9,San Diego Bay,94,96,1,65.8,1.24,,
6133,32.6962,-117.153,Port,12.5,San Diego Bay,78,60,3,84,1.7,,
6134,32.6983,-117.1584,Bay,13.7,San Diego Bay,95,84,1,40.4,0.51,,
6136,32.6996,-117.1609,Bay,14.1,San Diego Bay,102,50,2,40.9,0.56,,
6138,32.7015,-117.2266,Bay,10.3,San Diego Bay,86,63,3,50.5,1.23,,
6140,32.7022,-117.1617,Port,9.4,San Diego Bay,93,41,3,80.7,1.33,,
6145,32.7115,-117.2322,Marina,7,San Diego Bay,102,D,NA,88.8,1.82,,
6148,32.7127,-117.2303,Marina,4.8,San Diego Bay,101,D,NA,28.8,0.32,,
6151,32.7143,-117.2297,Marina,4.7,San Diego Bay,101,18,3,51.4,0.6,,
6152,32.7149,-117.1829,Bay,12.3,San Diego Bay,95,80,1,52.3,0.43,,
6153,32.7158,-117.2309,Marina,5.8,San Diego Bay,101,49,2,83.3,1.11,,
6154,32.716,-117.1748,Port,9.9,San Diego Bay,102,89,1,64.6,1.32,,
6155,32.7159,-117.1759,Port,10.9,San Diego Bay,98,83,1,51.6,0.47,,
6156,32.7164,-117.1966,Port,11.8,San Diego Bay,93,107,1,44.8,0.7,,
6157,32.7168,-117.2248,Marina,3.6,San Diego Bay,100,57,2,90.5,1.59,,
6159,32.7184,-117.2306,Marina,3.3,San Diego Bay,104,57,2,69.2,0.97,,
6161,32.7183,-117.2259,Marina,5,San Diego Bay,101,53,2,90.6,1.42,,
6165,32.7217,-117.2216,Marina,4.6,San Diego Bay,102,D,NA,33.8,0.38,,
6168,32.7239,-117.1756,Marina,6.5,San Diego Bay,84,93,2,79.4,1.13,,
6171,32.7244,-117.2249,Marina,4.7,San Diego Bay,97,D,NA,76.5,1.43,,
6172,32.7242,-117.1827,Bay,4.7,San Diego Bay,92,52,2,44.7,1.38,,
6173,32.7249,-117.1835,Marina,4.7,San Diego Bay,100,58,2,,0.27,,
6174,32.7263,-117.1767,Marina,5.7,San Diego Bay,96,100,1,61.3,0.92,,
6177,32.7271,-117.2022,Marina,3.8,San Diego Bay,96,49,2,74.5,1.23,,
6179,32.7281,-117.2084,Marina,2.5,San Diego Bay,104,D,NA,51.9,0.49,,
6180,32.7284,-117.2019,Marina,2.5,San Diego Bay,103,84,1,53.9,0.58,,
6181,32.7568,-117.235,Estuary,1.1,San Diego River,89,96,1,67.7,2.49,,
6189,32.7577,-117.242,Estuary,0.3,San Diego River,103,6,3,19,0.08,,
6192,32.7579,-117.2269,Estuary,0.5,San Diego River,100,101,1,60.7,1.3,,
6197,32.7601,-117.2207,Estuary,0.5,San Diego River,97,88,2,33.9,0.23,,
6200,32.7605,-117.2101,Estuary,1.7,San Diego River,98,107,1,56.4,0.45,,
6204,32.7625,-117.2362,Marina,6.5,Mission Bay,102,101,1,66.7,1.27,,
6211,32.7675,-117.2354,Marina,2.6,Mission Bay,100,105,1,65.9,1.79,,
6212,32.7678,-117.2413,Bay,6.2,Mission Bay,101,92,1,8.4,0.08,,
6213,32.7683,-117.2472,Marina,5.3,Mission Bay,102,94,1,52.2,1,,
6216,32.7808,-117.2493,Marina,3.8,Mission Bay,96,101,1,61.8,1,,
6217,32.7844,-117.2153,Bay,3.6,Mission Bay,101,103,1,89.6,2.62,,
6219,32.7874,-117.2092,Bay,2.9,Mission Bay,99,108,1,79.1,2.24,,
6223,32.7943,-117.2204,Bay,1.5,Mission Bay,95,105,1,66.9,3.33,,
6228,32.9304,-117.2486,Estuary,0.5,Los Penasquitos,71,119,2,74.9,0.62,,
6229,32.9316,-117.251,Estuary,1.5,Los Penasquitos,93,109,2,81.1,1.18,,
6230,32.9321,-117.2534,Estuary,0.4,Los Penasquitos,100,122,1,79.1,1.51,,
6232,32.9328,-117.2579,Estuary,0.6,Los Penasquitos,95,120,1,3.3,0.04,,
6236,32.9338,-117.2568,Estuary,1.4,Los Penasquitos,97,123,1,46.1,1.13,,
6239,33.008,-117.2706,Estuary,0.4,San Elijo Lagoon,94,106,1,18,0.26,,
6242,33.0106,-117.2636,Estuary,2.4,San Elijo Lagoon,99,4,3,80.7,2.86,,
6243,33.0113,-117.2732,Estuary,0.7,San Elijo Lagoon,82,109,2,24,0.58,,
6244,33.0141,-117.2797,Estuary,1,San Elijo Lagoon,95,99,1,1,0.14,,
6245,33.0143,-117.2769,Estuary,2.3,San Elijo Lagoon,85,101,2,7.1,0.14,,
