stationid,toxbatch,matrix,lab,species,dilution,treatment,concentration,concentrationunits,endpoint,labrep,result,resultunits,qacode,sampletypecode,fieldreplicate,samplecollectdate,comments,ObjectId
B18-10203,9/4B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,4,95,percentage,A,Grab,1,2018/08/28 07:00:00+00,"aeration off on day 0, adjusted by technician; eohs on water surface day 1, resubmerged; film on sediment days 6-10",1
0000,03/02B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,1,100,percentage,A,CNEG,1,2018/02/27 08:00:00+00,21 organims discovered at test termination. Day 0 survival changed to 21.,2
B18-10203,9/4B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,5,95.238,percentage,A,Grab,1,2018/08/28 07:00:00+00,"extra eoh found on day 10, initial count changed to 21; aeration increased on day 0 and 8; film on sediment days 6-10",3
0000,03/02B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,2,100,percentage,A,CNEG,1,2018/02/27 08:00:00+00,,4
B18-10217,9/4B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,1,100,percentage,A,Grab,1,2018/08/28 07:00:00+00,"aeration off on day 0, adjusted by technician",5
0000,03/02B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,3,95,percentage,A,CNEG,1,2018/02/27 08:00:00+00,,6
B18-10217,9/4B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,2,95,percentage,A,Grab,1,2018/08/28 07:00:00+00,"eoh on water surface day 1, resubmerged",7
0000,03/02B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,4,100,percentage,J,CNEG,1,2018/02/27 08:00:00+00,Aeration rate had to be adjusted on 1 day (10) because replicate was not being aerated.,8
0000,03/02B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,5,100,percentage,A,CNEG,1,2018/02/27 08:00:00+00,,9
B18-10217,9/4B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,3,95,percentage,A,Grab,1,2018/08/28 07:00:00+00,"aeration off on day 0, adjusted by technician; aeration increased on day 3",10
SampleA,03/02B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,1,25,percentage,A,Grab,1,2018/02/27 08:00:00+00,Some eohs swimming at water surface on days 0-4 and day 6 (avoiding sediment).,11
SampleA,03/02B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,2,5,percentage,A,Grab,1,2018/02/27 08:00:00+00,Some eohs swimming at water surface on days 0-3 (avoiding sediment).,12
B18-10217,9/4B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,4,100,percentage,A,Grab,1,2018/08/28 07:00:00+00,neonate (1 dead) found on day 10,13
SampleA,03/02B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,3,10,percentage,A,Grab,1,2018/02/27 08:00:00+00,Some eohs swimming at water surface on days 0-5 and day 7 (avoiding sediment).,14
SampleA,03/02B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,4,15,percentage,J,Grab,1,2018/02/27 08:00:00+00,Aeration rate had to be adjusted on 1 day (4) because replicate was not being aerated. Some eohs swimming at water surface on days 0-7 (avoiding sediment).,15
B18-10217,9/4B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,5,100,percentage,A,Grab,1,2018/08/28 07:00:00+00,aeration increased on day 1,16
SampleA,03/02B18eea,Whole Sediment,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,-88,Not Recorded,10 day survival percent,5,0,percentage,A,Grab,1,2018/02/27 08:00:00+00,Some eohs swimming at water surface on days 0-4 (avoiding sediment).,17
0000,9/18B18RTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,31.2,mg/L,4 day survival percent,4,100,percentage,A,RFNH3,1,2018/09/18 07:00:00+00,"eohs on water surface day 1-4, resubmerged",18
0000,9/04B18RTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,0,mg/L,4 day survival percent,1,100,percentage,A,RFNH3,1,2018/09/04 07:00:00+00,,19
0000,9/04B18RTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,0,mg/L,4 day survival percent,2,100,percentage,A,RFNH3,1,2018/09/04 07:00:00+00,"eoh on water surface day 3, resubmerged",20
0000,9/04B18RTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,0,mg/L,4 day survival percent,3,100,percentage,A,RFNH3,1,2018/09/04 07:00:00+00,"eohs on water surface day 1-4, resubmerged",21
0000,9/04B18RTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,0,mg/L,4 day survival percent,4,100,percentage,A,RFNH3,1,2018/09/04 07:00:00+00,"eohs on water surface day 1-4, resubmerged",22
0000,9/04B18RTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,15.6,mg/L,4 day survival percent,1,100,percentage,A,RFNH3,1,2018/09/04 07:00:00+00,"eoh on water surface day 1 and 2, resubmerged",23
0000,9/04B18RTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,15.6,mg/L,4 day survival percent,2,100,percentage,A,RFNH3,1,2018/09/04 07:00:00+00,"eohs on water surface day 1, 3 and 4, resubmerged",24
0000,9/04B18RTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,15.6,mg/L,4 day survival percent,3,90,percentage,A,RFNH3,1,2018/09/04 07:00:00+00,"eoh on water surface day 1, resubmerged",25
0000,9/04B18RTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,15.6,mg/L,4 day survival percent,4,100,percentage,A,RFNH3,1,2018/09/04 07:00:00+00,"eohs on water surface day 1-4, resubmerged",26
0000,9/04B18RTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,31.2,mg/L,4 day survival percent,1,100,percentage,A,RFNH3,1,2018/09/04 07:00:00+00,,27
0000,9/04B18RTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,31.2,mg/L,4 day survival percent,2,100,percentage,A,RFNH3,1,2018/09/04 07:00:00+00,,28
0000,9/04B18RTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,31.2,mg/L,4 day survival percent,3,100,percentage,A,RFNH3,1,2018/09/04 07:00:00+00,"eoh on water surface day 3, resubmerged",29
0000,9/04B18RTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,31.2,mg/L,4 day survival percent,4,100,percentage,A,RFNH3,1,2018/09/04 07:00:00+00,"eohs on water surface day 1, 3 and 4, resubmerged",30
0000,9/04B18RTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,62.5,mg/L,4 day survival percent,1,100,percentage,A,RFNH3,1,2018/09/04 07:00:00+00,"eoh on water surface day 2, resubmerged",31
0000,9/04B18RTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,62.5,mg/L,4 day survival percent,2,100,percentage,A,RFNH3,1,2018/09/04 07:00:00+00,"eoh on water surface day 1, resubmerged",32
0000,9/04B18RTeea,Reference Toxicant,Los Angeles County Sanitation Districts,Eohaustorius estuarius,-88,None,62.5,mg/L,4 day survival percent,3,100,percentage,A,RFNH3,1,2018/09/04 07:00:00+00,,33
