objectid,stationid,lab,sampletypecode,toxbatch,fieldreplicate,species,endpoint,units,mean,control_mean,adjusted_control_mean,stddev,coefficientvariance,pvalue,n,sigeffect,qacode,sqocategory,matrix,treatment,dilution,comments,latitude,longitude,stationwaterdepth,stationwaterdepthunits,stratum,areaweight
1,0000,Pacific EcoRisk,CNEG,122323_SCCWRP_EE_C1_Tox,1,Eohaustorius estuarius,10 day survival percent;Percent normal-alive,percentage,99,99,100,2.23606797749979,0.0225865452272706,0.5,5,NSC,"A;E;X;C;D;O,X,C;O,X",Nontoxic,Whole Sediment;Sediment Water Interface,None,-88,"NA;Survival in Sample A replicate 1 was 90% in initial (3/27/23) test. ;Survival in Sample A replicate 2 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 3 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 4 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 5 was 55% in initial (3/27/23) test. ;Survival in Sample B replicate 1 was 75% in initial (3/27/23) test. ;Survival in Sample B replicate 2 was 90% in initial (3/27/23) test. ;Survival in Sample B replicate 3 was 65% in initial (3/27/23) test. ;Survival in Sample B replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample B replicate 5 was 85% in initial (3/27/23) test. ;Increased debris observed in the vial during scoring.;An error occurred when terminating the test where portions of one replicate were inadvertently mixed with the prior replicate. Therefore, this replicate was removed from the data analysis.;Observations of significant debris during scoring, counts verified by senior analyst; replicate is a statistical outlier, not excluded from mean normal-alive because replicate 2 was already removed due to error at termination.;More sediment observed in vial compared to others during counting;Survival in Sample C replicate 1 was 75% in initial (3/27/23) test. ;Survival in Sample C replicate 2 was 85% in initial (3/27/23) test. ;Survival in Sample C replicate 3 was 85% in initial (3/27/23) test. ;Survival in Sample C replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample C replicate 5 was 85% in initial (3/27/23) test. ;Survival in Sample D replicate 1 was 95% in initial (3/27/23) test. ;Survival in Sample D replicate 2 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 3 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 5 was 90% in initial (3/27/23) test. ;Sample was 14 days and 13 hours old at time of test initiation.;Partial loss of embryos during termination.  Heavy debris also observed. Excluded from analysis using Grubbs Outlier Test;Replicate equilibrated an additional 24 hours with one water exchange prior to test initiation;Salinity at 27 ppt;Salinity at 17 ppt;Previously was the exact same as another batch. Error noticed by Darrin Greenstein, DB change was requested by Angelika Moskova;Complete loss of embryos during test termination.  No bottom on vial due to manufacturer error. Excluded from analysis using Grubbs outlier test;Replicate Likely not initiated, no bodies recovered;SAMPLE NOT INNOCULATED, TECH ERROR;Screen Tube Control;Yaquina Bay Control;Test initially performed within 14 days of sample receipt (3/27/23) was run with incorrect control sediment. Retest initiated on 4/12/23.;Salinity at 32 ppt",,,,,,
2,B23-B1,Pacific EcoRisk,Grab,122323_SCCWRP_EE_C1_Tox,1,Eohaustorius estuarius,10 day survival percent;Percent normal-alive,percentage,97,99,97.979797979798,2.73861278752583,0.0282331215208849,0.121437806075141,5,NSC,"A;E;X;C;D;O,X,C;O,X",Nontoxic,Whole Sediment;Sediment Water Interface,None,-88,"NA;Survival in Sample A replicate 1 was 90% in initial (3/27/23) test. ;Survival in Sample A replicate 2 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 3 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 4 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 5 was 55% in initial (3/27/23) test. ;Survival in Sample B replicate 1 was 75% in initial (3/27/23) test. ;Survival in Sample B replicate 2 was 90% in initial (3/27/23) test. ;Survival in Sample B replicate 3 was 65% in initial (3/27/23) test. ;Survival in Sample B replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample B replicate 5 was 85% in initial (3/27/23) test. ;Increased debris observed in the vial during scoring.;An error occurred when terminating the test where portions of one replicate were inadvertently mixed with the prior replicate. Therefore, this replicate was removed from the data analysis.;Observations of significant debris during scoring, counts verified by senior analyst; replicate is a statistical outlier, not excluded from mean normal-alive because replicate 2 was already removed due to error at termination.;More sediment observed in vial compared to others during counting;Survival in Sample C replicate 1 was 75% in initial (3/27/23) test. ;Survival in Sample C replicate 2 was 85% in initial (3/27/23) test. ;Survival in Sample C replicate 3 was 85% in initial (3/27/23) test. ;Survival in Sample C replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample C replicate 5 was 85% in initial (3/27/23) test. ;Survival in Sample D replicate 1 was 95% in initial (3/27/23) test. ;Survival in Sample D replicate 2 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 3 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 5 was 90% in initial (3/27/23) test. ;Sample was 14 days and 13 hours old at time of test initiation.;Partial loss of embryos during termination.  Heavy debris also observed. Excluded from analysis using Grubbs Outlier Test;Replicate equilibrated an additional 24 hours with one water exchange prior to test initiation;Salinity at 27 ppt;Salinity at 17 ppt;Previously was the exact same as another batch. Error noticed by Darrin Greenstein, DB change was requested by Angelika Moskova;Complete loss of embryos during test termination.  No bottom on vial due to manufacturer error. Excluded from analysis using Grubbs outlier test;Replicate Likely not initiated, no bodies recovered;SAMPLE NOT INNOCULATED, TECH ERROR;Screen Tube Control;Yaquina Bay Control;Test initially performed within 14 days of sample receipt (3/27/23) was run with incorrect control sediment. Retest initiated on 4/12/23.;Salinity at 32 ppt",33.15358,-117.37763,35,m,Mid Shelf,0
3,B23-SONGS Unit 2,Pacific EcoRisk,Grab,122323_SCCWRP_EE_C1_Tox,1,Eohaustorius estuarius,10 day survival percent;Percent normal-alive,percentage,92,99,92.9292929292929,10.3682206766639,0.112698050833303,0.104075759964363,5,NSC,"A;E;X;C;D;O,X,C;O,X",Nontoxic,Whole Sediment;Sediment Water Interface,None,-88,"NA;Survival in Sample A replicate 1 was 90% in initial (3/27/23) test. ;Survival in Sample A replicate 2 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 3 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 4 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 5 was 55% in initial (3/27/23) test. ;Survival in Sample B replicate 1 was 75% in initial (3/27/23) test. ;Survival in Sample B replicate 2 was 90% in initial (3/27/23) test. ;Survival in Sample B replicate 3 was 65% in initial (3/27/23) test. ;Survival in Sample B replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample B replicate 5 was 85% in initial (3/27/23) test. ;Increased debris observed in the vial during scoring.;An error occurred when terminating the test where portions of one replicate were inadvertently mixed with the prior replicate. Therefore, this replicate was removed from the data analysis.;Observations of significant debris during scoring, counts verified by senior analyst; replicate is a statistical outlier, not excluded from mean normal-alive because replicate 2 was already removed due to error at termination.;More sediment observed in vial compared to others during counting;Survival in Sample C replicate 1 was 75% in initial (3/27/23) test. ;Survival in Sample C replicate 2 was 85% in initial (3/27/23) test. ;Survival in Sample C replicate 3 was 85% in initial (3/27/23) test. ;Survival in Sample C replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample C replicate 5 was 85% in initial (3/27/23) test. ;Survival in Sample D replicate 1 was 95% in initial (3/27/23) test. ;Survival in Sample D replicate 2 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 3 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 5 was 90% in initial (3/27/23) test. ;Sample was 14 days and 13 hours old at time of test initiation.;Partial loss of embryos during termination.  Heavy debris also observed. Excluded from analysis using Grubbs Outlier Test;Replicate equilibrated an additional 24 hours with one water exchange prior to test initiation;Salinity at 27 ppt;Salinity at 17 ppt;Previously was the exact same as another batch. Error noticed by Darrin Greenstein, DB change was requested by Angelika Moskova;Complete loss of embryos during test termination.  No bottom on vial due to manufacturer error. Excluded from analysis using Grubbs outlier test;Replicate Likely not initiated, no bodies recovered;SAMPLE NOT INNOCULATED, TECH ERROR;Screen Tube Control;Yaquina Bay Control;Test initially performed within 14 days of sample receipt (3/27/23) was run with incorrect control sediment. Retest initiated on 4/12/23.;Salinity at 32 ppt",33.34816,-117.57028,14.3,m,Inner Shelf,0
4,0000,WSP,CNEG,23-08-015 to -016,1,Eohaustorius estuarius,10 day survival percent;Percent normal-alive,percentage,98,98,100,4.47213595499958,0.0456340403571386,0.5,5,NSC,"A;E;X;C;D;O,X,C;O,X",Nontoxic,Whole Sediment;Sediment Water Interface,None,-88,"NA;Survival in Sample A replicate 1 was 90% in initial (3/27/23) test. ;Survival in Sample A replicate 2 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 3 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 4 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 5 was 55% in initial (3/27/23) test. ;Survival in Sample B replicate 1 was 75% in initial (3/27/23) test. ;Survival in Sample B replicate 2 was 90% in initial (3/27/23) test. ;Survival in Sample B replicate 3 was 65% in initial (3/27/23) test. ;Survival in Sample B replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample B replicate 5 was 85% in initial (3/27/23) test. ;Increased debris observed in the vial during scoring.;An error occurred when terminating the test where portions of one replicate were inadvertently mixed with the prior replicate. Therefore, this replicate was removed from the data analysis.;Observations of significant debris during scoring, counts verified by senior analyst; replicate is a statistical outlier, not excluded from mean normal-alive because replicate 2 was already removed due to error at termination.;More sediment observed in vial compared to others during counting;Survival in Sample C replicate 1 was 75% in initial (3/27/23) test. ;Survival in Sample C replicate 2 was 85% in initial (3/27/23) test. ;Survival in Sample C replicate 3 was 85% in initial (3/27/23) test. ;Survival in Sample C replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample C replicate 5 was 85% in initial (3/27/23) test. ;Survival in Sample D replicate 1 was 95% in initial (3/27/23) test. ;Survival in Sample D replicate 2 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 3 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 5 was 90% in initial (3/27/23) test. ;Sample was 14 days and 13 hours old at time of test initiation.;Partial loss of embryos during termination.  Heavy debris also observed. Excluded from analysis using Grubbs Outlier Test;Replicate equilibrated an additional 24 hours with one water exchange prior to test initiation;Salinity at 27 ppt;Salinity at 17 ppt;Previously was the exact same as another batch. Error noticed by Darrin Greenstein, DB change was requested by Angelika Moskova;Complete loss of embryos during test termination.  No bottom on vial due to manufacturer error. Excluded from analysis using Grubbs outlier test;Replicate Likely not initiated, no bodies recovered;SAMPLE NOT INNOCULATED, TECH ERROR;Screen Tube Control;Yaquina Bay Control;Test initially performed within 14 days of sample receipt (3/27/23) was run with incorrect control sediment. Retest initiated on 4/12/23.;Salinity at 32 ppt",,,,,,
5,B23-12186,WSP,Grab,23-08-015 to -016,1,Eohaustorius estuarius,10 day survival percent;Percent normal-alive,percentage,61,98,62.2448979591837,15.9687194226713,0.261782285617563,0.00256666693779605,5,SC,"A;E;X;C;D;O,X,C;O,X",Moderate Toxicity,Whole Sediment;Sediment Water Interface,None,-88,"NA;Survival in Sample A replicate 1 was 90% in initial (3/27/23) test. ;Survival in Sample A replicate 2 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 3 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 4 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 5 was 55% in initial (3/27/23) test. ;Survival in Sample B replicate 1 was 75% in initial (3/27/23) test. ;Survival in Sample B replicate 2 was 90% in initial (3/27/23) test. ;Survival in Sample B replicate 3 was 65% in initial (3/27/23) test. ;Survival in Sample B replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample B replicate 5 was 85% in initial (3/27/23) test. ;Increased debris observed in the vial during scoring.;An error occurred when terminating the test where portions of one replicate were inadvertently mixed with the prior replicate. Therefore, this replicate was removed from the data analysis.;Observations of significant debris during scoring, counts verified by senior analyst; replicate is a statistical outlier, not excluded from mean normal-alive because replicate 2 was already removed due to error at termination.;More sediment observed in vial compared to others during counting;Survival in Sample C replicate 1 was 75% in initial (3/27/23) test. ;Survival in Sample C replicate 2 was 85% in initial (3/27/23) test. ;Survival in Sample C replicate 3 was 85% in initial (3/27/23) test. ;Survival in Sample C replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample C replicate 5 was 85% in initial (3/27/23) test. ;Survival in Sample D replicate 1 was 95% in initial (3/27/23) test. ;Survival in Sample D replicate 2 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 3 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 5 was 90% in initial (3/27/23) test. ;Sample was 14 days and 13 hours old at time of test initiation.;Partial loss of embryos during termination.  Heavy debris also observed. Excluded from analysis using Grubbs Outlier Test;Replicate equilibrated an additional 24 hours with one water exchange prior to test initiation;Salinity at 27 ppt;Salinity at 17 ppt;Previously was the exact same as another batch. Error noticed by Darrin Greenstein, DB change was requested by Angelika Moskova;Complete loss of embryos during test termination.  No bottom on vial due to manufacturer error. Excluded from analysis using Grubbs outlier test;Replicate Likely not initiated, no bodies recovered;SAMPLE NOT INNOCULATED, TECH ERROR;Screen Tube Control;Yaquina Bay Control;Test initially performed within 14 days of sample receipt (3/27/23) was run with incorrect control sediment. Retest initiated on 4/12/23.;Salinity at 32 ppt",34.182969,-119.230512,2.53,m,Estuaries,
6,B23-12239,WSP,Grab,23-08-015 to -016,1,Eohaustorius estuarius,10 day survival percent;Percent normal-alive,percentage,89,98,90.8163265306122,8.21583836257749,0.0923127905907583,0.0368202919152638,5,SC,"A;E;X;C;D;O,X,C;O,X",Low Toxicity,Whole Sediment;Sediment Water Interface,None,-88,"NA;Survival in Sample A replicate 1 was 90% in initial (3/27/23) test. ;Survival in Sample A replicate 2 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 3 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 4 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 5 was 55% in initial (3/27/23) test. ;Survival in Sample B replicate 1 was 75% in initial (3/27/23) test. ;Survival in Sample B replicate 2 was 90% in initial (3/27/23) test. ;Survival in Sample B replicate 3 was 65% in initial (3/27/23) test. ;Survival in Sample B replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample B replicate 5 was 85% in initial (3/27/23) test. ;Increased debris observed in the vial during scoring.;An error occurred when terminating the test where portions of one replicate were inadvertently mixed with the prior replicate. Therefore, this replicate was removed from the data analysis.;Observations of significant debris during scoring, counts verified by senior analyst; replicate is a statistical outlier, not excluded from mean normal-alive because replicate 2 was already removed due to error at termination.;More sediment observed in vial compared to others during counting;Survival in Sample C replicate 1 was 75% in initial (3/27/23) test. ;Survival in Sample C replicate 2 was 85% in initial (3/27/23) test. ;Survival in Sample C replicate 3 was 85% in initial (3/27/23) test. ;Survival in Sample C replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample C replicate 5 was 85% in initial (3/27/23) test. ;Survival in Sample D replicate 1 was 95% in initial (3/27/23) test. ;Survival in Sample D replicate 2 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 3 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 5 was 90% in initial (3/27/23) test. ;Sample was 14 days and 13 hours old at time of test initiation.;Partial loss of embryos during termination.  Heavy debris also observed. Excluded from analysis using Grubbs Outlier Test;Replicate equilibrated an additional 24 hours with one water exchange prior to test initiation;Salinity at 27 ppt;Salinity at 17 ppt;Previously was the exact same as another batch. Error noticed by Darrin Greenstein, DB change was requested by Angelika Moskova;Complete loss of embryos during test termination.  No bottom on vial due to manufacturer error. Excluded from analysis using Grubbs outlier test;Replicate Likely not initiated, no bodies recovered;SAMPLE NOT INNOCULATED, TECH ERROR;Screen Tube Control;Yaquina Bay Control;Test initially performed within 14 days of sample receipt (3/27/23) was run with incorrect control sediment. Retest initiated on 4/12/23.;Salinity at 32 ppt",34.3158266,-119.56561855,67.1,m,Mid Shelf,
7,0000,WSP,CNEG,23-08-030 to -035,1,Eohaustorius estuarius,10 day survival percent;Percent normal-alive,percentage,99,99,100,2.23606797749979,0.0225865452272706,0.5,5,NSC,"A;E;X;C;D;O,X,C;O,X",Nontoxic,Whole Sediment;Sediment Water Interface,None,-88,"NA;Survival in Sample A replicate 1 was 90% in initial (3/27/23) test. ;Survival in Sample A replicate 2 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 3 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 4 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 5 was 55% in initial (3/27/23) test. ;Survival in Sample B replicate 1 was 75% in initial (3/27/23) test. ;Survival in Sample B replicate 2 was 90% in initial (3/27/23) test. ;Survival in Sample B replicate 3 was 65% in initial (3/27/23) test. ;Survival in Sample B replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample B replicate 5 was 85% in initial (3/27/23) test. ;Increased debris observed in the vial during scoring.;An error occurred when terminating the test where portions of one replicate were inadvertently mixed with the prior replicate. Therefore, this replicate was removed from the data analysis.;Observations of significant debris during scoring, counts verified by senior analyst; replicate is a statistical outlier, not excluded from mean normal-alive because replicate 2 was already removed due to error at termination.;More sediment observed in vial compared to others during counting;Survival in Sample C replicate 1 was 75% in initial (3/27/23) test. ;Survival in Sample C replicate 2 was 85% in initial (3/27/23) test. ;Survival in Sample C replicate 3 was 85% in initial (3/27/23) test. ;Survival in Sample C replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample C replicate 5 was 85% in initial (3/27/23) test. ;Survival in Sample D replicate 1 was 95% in initial (3/27/23) test. ;Survival in Sample D replicate 2 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 3 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 5 was 90% in initial (3/27/23) test. ;Sample was 14 days and 13 hours old at time of test initiation.;Partial loss of embryos during termination.  Heavy debris also observed. Excluded from analysis using Grubbs Outlier Test;Replicate equilibrated an additional 24 hours with one water exchange prior to test initiation;Salinity at 27 ppt;Salinity at 17 ppt;Previously was the exact same as another batch. Error noticed by Darrin Greenstein, DB change was requested by Angelika Moskova;Complete loss of embryos during test termination.  No bottom on vial due to manufacturer error. Excluded from analysis using Grubbs outlier test;Replicate Likely not initiated, no bodies recovered;SAMPLE NOT INNOCULATED, TECH ERROR;Screen Tube Control;Yaquina Bay Control;Test initially performed within 14 days of sample receipt (3/27/23) was run with incorrect control sediment. Retest initiated on 4/12/23.;Salinity at 32 ppt",,,,,,
8,B23-12000,WSP,Grab,23-08-030 to -035,1,Eohaustorius estuarius,10 day survival percent;Percent normal-alive,percentage,96,99,96.969696969697,4.18330013267038,0.0435760430486498,0.103075503368117,5,NSC,"A;E;X;C;D;O,X,C;O,X",Nontoxic,Whole Sediment;Sediment Water Interface,None,-88,"NA;Survival in Sample A replicate 1 was 90% in initial (3/27/23) test. ;Survival in Sample A replicate 2 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 3 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 4 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 5 was 55% in initial (3/27/23) test. ;Survival in Sample B replicate 1 was 75% in initial (3/27/23) test. ;Survival in Sample B replicate 2 was 90% in initial (3/27/23) test. ;Survival in Sample B replicate 3 was 65% in initial (3/27/23) test. ;Survival in Sample B replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample B replicate 5 was 85% in initial (3/27/23) test. ;Increased debris observed in the vial during scoring.;An error occurred when terminating the test where portions of one replicate were inadvertently mixed with the prior replicate. Therefore, this replicate was removed from the data analysis.;Observations of significant debris during scoring, counts verified by senior analyst; replicate is a statistical outlier, not excluded from mean normal-alive because replicate 2 was already removed due to error at termination.;More sediment observed in vial compared to others during counting;Survival in Sample C replicate 1 was 75% in initial (3/27/23) test. ;Survival in Sample C replicate 2 was 85% in initial (3/27/23) test. ;Survival in Sample C replicate 3 was 85% in initial (3/27/23) test. ;Survival in Sample C replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample C replicate 5 was 85% in initial (3/27/23) test. ;Survival in Sample D replicate 1 was 95% in initial (3/27/23) test. ;Survival in Sample D replicate 2 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 3 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 5 was 90% in initial (3/27/23) test. ;Sample was 14 days and 13 hours old at time of test initiation.;Partial loss of embryos during termination.  Heavy debris also observed. Excluded from analysis using Grubbs Outlier Test;Replicate equilibrated an additional 24 hours with one water exchange prior to test initiation;Salinity at 27 ppt;Salinity at 17 ppt;Previously was the exact same as another batch. Error noticed by Darrin Greenstein, DB change was requested by Angelika Moskova;Complete loss of embryos during test termination.  No bottom on vial due to manufacturer error. Excluded from analysis using Grubbs outlier test;Replicate Likely not initiated, no bodies recovered;SAMPLE NOT INNOCULATED, TECH ERROR;Screen Tube Control;Yaquina Bay Control;Test initially performed within 14 days of sample receipt (3/27/23) was run with incorrect control sediment. Retest initiated on 4/12/23.;Salinity at 32 ppt",32.609758,-117.107404,1.4,m,Bay,
9,B23-12001,WSP,Grab,23-08-030 to -035,1,Eohaustorius estuarius,10 day survival percent;Percent normal-alive,percentage,96,99,96.969696969697,4.18330013267038,0.0435760430486498,0.103075503368117,5,NSC,"A;E;X;C;D;O,X,C;O,X",Nontoxic,Whole Sediment;Sediment Water Interface,None,-88,"NA;Survival in Sample A replicate 1 was 90% in initial (3/27/23) test. ;Survival in Sample A replicate 2 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 3 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 4 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 5 was 55% in initial (3/27/23) test. ;Survival in Sample B replicate 1 was 75% in initial (3/27/23) test. ;Survival in Sample B replicate 2 was 90% in initial (3/27/23) test. ;Survival in Sample B replicate 3 was 65% in initial (3/27/23) test. ;Survival in Sample B replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample B replicate 5 was 85% in initial (3/27/23) test. ;Increased debris observed in the vial during scoring.;An error occurred when terminating the test where portions of one replicate were inadvertently mixed with the prior replicate. Therefore, this replicate was removed from the data analysis.;Observations of significant debris during scoring, counts verified by senior analyst; replicate is a statistical outlier, not excluded from mean normal-alive because replicate 2 was already removed due to error at termination.;More sediment observed in vial compared to others during counting;Survival in Sample C replicate 1 was 75% in initial (3/27/23) test. ;Survival in Sample C replicate 2 was 85% in initial (3/27/23) test. ;Survival in Sample C replicate 3 was 85% in initial (3/27/23) test. ;Survival in Sample C replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample C replicate 5 was 85% in initial (3/27/23) test. ;Survival in Sample D replicate 1 was 95% in initial (3/27/23) test. ;Survival in Sample D replicate 2 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 3 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 5 was 90% in initial (3/27/23) test. ;Sample was 14 days and 13 hours old at time of test initiation.;Partial loss of embryos during termination.  Heavy debris also observed. Excluded from analysis using Grubbs Outlier Test;Replicate equilibrated an additional 24 hours with one water exchange prior to test initiation;Salinity at 27 ppt;Salinity at 17 ppt;Previously was the exact same as another batch. Error noticed by Darrin Greenstein, DB change was requested by Angelika Moskova;Complete loss of embryos during test termination.  No bottom on vial due to manufacturer error. Excluded from analysis using Grubbs outlier test;Replicate Likely not initiated, no bodies recovered;SAMPLE NOT INNOCULATED, TECH ERROR;Screen Tube Control;Yaquina Bay Control;Test initially performed within 14 days of sample receipt (3/27/23) was run with incorrect control sediment. Retest initiated on 4/12/23.;Salinity at 32 ppt",32.613722,-117.123706,1.7,m,Bay,
10,B23-12002,WSP,Grab,23-08-030 to -035,1,Eohaustorius estuarius,10 day survival percent;Percent normal-alive,percentage,89,99,89.8989898989899,9.61769203083567,0.108063955402648,0.039878519430865,5,SC,"A;E;X;C;D;O,X,C;O,X",Low Toxicity,Whole Sediment;Sediment Water Interface,None,-88,"NA;Survival in Sample A replicate 1 was 90% in initial (3/27/23) test. ;Survival in Sample A replicate 2 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 3 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 4 was 80% in initial (3/27/23) test. ;Survival in Sample A replicate 5 was 55% in initial (3/27/23) test. ;Survival in Sample B replicate 1 was 75% in initial (3/27/23) test. ;Survival in Sample B replicate 2 was 90% in initial (3/27/23) test. ;Survival in Sample B replicate 3 was 65% in initial (3/27/23) test. ;Survival in Sample B replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample B replicate 5 was 85% in initial (3/27/23) test. ;Increased debris observed in the vial during scoring.;An error occurred when terminating the test where portions of one replicate were inadvertently mixed with the prior replicate. Therefore, this replicate was removed from the data analysis.;Observations of significant debris during scoring, counts verified by senior analyst; replicate is a statistical outlier, not excluded from mean normal-alive because replicate 2 was already removed due to error at termination.;More sediment observed in vial compared to others during counting;Survival in Sample C replicate 1 was 75% in initial (3/27/23) test. ;Survival in Sample C replicate 2 was 85% in initial (3/27/23) test. ;Survival in Sample C replicate 3 was 85% in initial (3/27/23) test. ;Survival in Sample C replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample C replicate 5 was 85% in initial (3/27/23) test. ;Survival in Sample D replicate 1 was 95% in initial (3/27/23) test. ;Survival in Sample D replicate 2 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 3 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 4 was 90% in initial (3/27/23) test. ;Survival in Sample D replicate 5 was 90% in initial (3/27/23) test. ;Sample was 14 days and 13 hours old at time of test initiation.;Partial loss of embryos during termination.  Heavy debris also observed. Excluded from analysis using Grubbs Outlier Test;Replicate equilibrated an additional 24 hours with one water exchange prior to test initiation;Salinity at 27 ppt;Salinity at 17 ppt;Previously was the exact same as another batch. Error noticed by Darrin Greenstein, DB change was requested by Angelika Moskova;Complete loss of embryos during test termination.  No bottom on vial due to manufacturer error. Excluded from analysis using Grubbs outlier test;Replicate Likely not initiated, no bodies recovered;SAMPLE NOT INNOCULATED, TECH ERROR;Screen Tube Control;Yaquina Bay Control;Test initially performed within 14 days of sample receipt (3/27/23) was run with incorrect control sediment. Retest initiated on 4/12/23.;Salinity at 32 ppt",32.615234,-117.121302,1.9,m,Bay,
