stationid,%Normal (50),SD (50),%Control (50),t test (50),QA Code (50),%Normal (25),SD (25),%Control (25),t test (25),Sediment Held (d),QA Code (25)
16,0,0,0,*,A,47,33.7,53,,11,A
32,0,,0,nt,N,0,0,0,*,11,A
38,0,,0,nt,N,1,0,1,*,22,A
115,0,,0,nt,N,0,0,0,*,11,A
150,0,,0,nt,N,1,2.3,2,*,11,A
228,16,14.8,20,*,A,0,0,0,*,22,A
245,0,,0,nt,CN,0,0,0,*,22,C
252,2,1.5,3,*,A,53,41.3,64,,23,A
365,1,1.7,1,*,A,53,33.6,60,,11,A
366,36,23,43,*,A,78,4.7,94,,23,A
407,71,7.5,80,*,A,70,2.1,79,*,12,A
474,83,4.9,100,,A,88,7.4,105,,19,A
480,43,38.1,52,,A,86,1.5,103,,19,A
670,24,8.1,28,*,A,83,6.1,99,,20,A
682,55,30.9,66,,A,80,5.9,96,,20,A
708,0,,0,nt,N,43,18.3,51,*,19,A
753,0,,0,nt,N,34,33.2,38,,20,A
758,0,,0,nt,N,9,13.9,10,*,13,A
814,0,,0,nt,N,0,0,0,*,13,A
815,0,,0,nt,N,15,12.2,18,*,13,A
820,0,,0,nt,N,0,0,0,*,25,A
846,0,,0,nt,N,26,22.8,31,*,13,A
943,83,10.2,97,,A,88,2.6,104,,15,A
960,5,4.6,5,*,A,84,6.4,98,,15,A
993,31,19.3,36,*,A,89,2,105,,15,A
1028,81,2.6,95,,A,86,3.5,101,,21,A
1049,0,,0,nt,N,0,0,0,*,21,A
1072,0,,0,nt,N,17,14.7,20,*,14,A
1081,0,,0,nt,CN,0,0,0,*,13,C
1106,58,24,65,,E,67,17.1,76,,40,E
1108,0,,0,nt,N,3,1.5,4,*,20,A
1109,0,,0,nt,N,0,0.6,0,*,20,A
1126,2,1,2,*,A,35,20.5,40,*,20,A
1142,16,14.3,18,*,A,75,12,84,,20,A
1148,41,15,47,*,A,72,11.2,81,*,20,A
1152,80,2.3,95,,A,80,5.7,95,,20,A
1169,79,1.5,89,*,A,84,4.2,95,,21,A
1173,0,,0,nt,44,2.9,49,20,*,N,A
1175,82,3.6,92,*,89,7.4,100,21,,N,A
1208,85,2,106,,84,2.5,104,18,,A,A
1267,0,,0,nt,0,0,0,17,*,N,A
1306,0,,0,nt,1,1.2,1,18,*,CN,C
1332,0,,0,nt,0,0,0,24,*,N,A
1348,0,,0,nt,0,0.6,0,19,*,N,A
1355,0,,0,nt,1,2.3,2,19,,N,A
1401,0,,0,nt,53,5.2,66,19,*,N,A
1406,1,,1,nt,0,0.6,0,18,*,N,A
1415,0,,0,nt,1,0.6,1,19,*,N,A
1417,21,4.9,26,*,81,1.5,101,19,,A,A
1418,33,9.5,41,*,84,5.2,104,18,,A,A
1426,0,0,0,*,78,4,97,18,,A,A
1450,87,3.6,108,,84,2.1,104,18,,A,A
1469,80,10.5,99,,88,3.2,109,19,,A,A
1551,82,5.1,102,,90,3.1,112,14,,A,A
1617,0,,0,nt,2,2.9,2,14,*,N,A
1655,82,11.6,102,,83,3.1,103,14,,A,A
1734,5,3.5,5,*,62,11.4,70,11,*,A,A
1767,41,14.7,48,*,87,2.6,102,21,,A,A
1769,0,0,0,*,70,6.7,82,21,*,A,A
1770,8,4.6,9,*,89,1.7,105,21,,A,A
1776,0,,0,nt,0,0,0,21,*,N,A
1780,0,0,0,*,,,,21,,C,C
1794,68,5.7,77,*,78,2,87,13,*,A,A
1797,0,0,0,*,73,5.2,86,26,*,A,A
1825,7,7,8,*,69,6.6,77,18,*,A,A
1828,25,12.3,28,*,77,8.5,86,18,*,A,A
1833,14,6,16,*,59,11.8,66,20,*,A,A
1839,0,,0,nt,1,2.3,1,24,*,CN,C
1850,0,0,0,*,56,0.6,62,20,*,A,A
1871,0,0.6,0,*,32,5.6,38,29,*,A,A
1874,51,42.7,58,,86,4.6,96,21,,A,A
1903,62,6.4,70,*,85,5.1,96,21,,A,A
