"STATION","LONGITUDE","LATITUDE","STRATA","DEPTH","REGION","SMB","LPOTW","SPOTW","RIVER","ISLAND","HISTORICAL","BAYCODE","SDB","MEXICO","Level1 InclPr","Level1 AreaWt","Level2 InclPr","Level2 AreaWt","Level3 InclPr","Level3 AreaWt","Level4 InclPr","Level4 AreaWt","Level5 InclPr","Level5 AreaWt","Level6 InclPr","Level6 Ar"
"2356    ",-120.07,34.44,"bath-120","M",,,"Z","Z","Z","Z","N","Z","N","Z",0.31,3.13,0.31,3.13,0.31,3.13,0.31,3.13,0.07,13.47,,
"2357    ",-119.94,34.40,"bath-120","M",,,"Z","Z","Z","Z","N","Z","N","Z",0.31,3.13,0.31,3.13,0.31,3.13,0.31,3.13,0.07,13.47,,
"2358    ",-119.97,34.39,"bath-120","M",,,"Z","Z","Z","Z","N","Z","N","Z",0.31,3.13,0.31,3.13,0.31,3.13,0.31,3.13,0.07,13.47,,
"2360    ",-119.87,34.39,"bath-120","M",,,"Z","Z","Z","Z","N","Z","N","Z",0.31,3.13,0.31,3.13,0.31,3.13,0.31,3.13,0.07,13.47,,
"2362    ",-119.66,34.36,"bath-120","M",,,"Z","Z","Z","Z","N","Z","N","Z",0.31,3.13,0.31,3.13,0.31,3.13,0.31,3.13,0.07,13.47,,
"2363    ",-119.62,34.35,"bath-120","M",,,"Z","Z","Z","Z","N","Z","N","Z",0.31,3.13,0.31,3.13,0.31,3.13,0.31,3.13,0.07,13.47,,
"2364    ",-119.65,34.34,"bath-120","M",,,"Z","Z","Z","Z","N","Z","N","Z",0.31,3.13,0.31,3.13,0.31,3.13,0.31,3.13,0.07,13.47,,
"2365    ",-119.56,34.34,"bath-120","M",,,"Z","Z","Z","Z","N","Z","N","Z",0.31,3.13,0.31,3.13,0.31,3.13,0.31,3.13,0.07,13.47,,
"2366    ",-119.61,34.33,"bath-120","M",,,"Z","Z","Z","Z","N","Z","N","Z",0.31,3.13,0.31,3.13,0.31,3.13,0.31,3.13,0.07,13.47,,
"2367    ",-119.53,34.31,"bath-120","M",,,"Z","Z","Z","Z","N","Z","N","Z",0.31,3.13,0.31,3.13,0.31,3.13,0.31,3.13,0.07,13.47,,
"2368    ",-119.46,34.30,"bath-120","M",,,"Z","Z","Z","Z","N","Z","N","Z",0.31,3.13,0.31,3.13,0.31,3.13,0.31,3.13,0.07,13.47,,
"2369    ",-119.42,34.30,"bath-120","M",,,"Z","Z","Z","Z","N","Z","N","Z",0.31,3.13,0.31,3.13,0.31,3.13,0.31,3.13,0.07,13.47,,
"2371    ",-119.50,34.26,"bath-120","M",,,"Z","Z","Z","Z","N","Z","N","Z",0.31,3.13,0.31,3.13,0.31,3.13,0.31,3.13,0.07,13.47,,
"2372    ",-119.60,34.23,"bath-120","M",,,"Z","Z","Z","Z","N","Z","N","Z",0.31,3.13,0.31,3.13,0.31,3.13,0.31,3.13,0.07,13.47,,
"2374    ",-119.49,34.18,"bath-120","M",,,"Z","Z","Z","Z","N","Z","N","Z",0.31,3.13,0.31,3.13,0.31,3.13,0.31,3.13,0.07,13.47,,
"2381    ",-118.76,34.00,"bath-120","M",,,"Z","Z","Z","Z","N","Z","N","Z",0.31,3.13,0.31,3.13,0.31,3.13,0.31,3.13,0.07,13.47,,
"2384    ",-118.50,33.93,"bath-120","M",,,"Z","Z","Z","Z","N","Z","N","Z",0.31,3.13,0.31,3.13,0.31,3.13,0.31,3.13,0.07,13.47,,
"2387    ",-118.45,33.84,"bath-120","M",,,"Z","Z","Z","Z","N","Z","N","Z",0.31,3.13,0.31,3.13,0.31,3.13,0.31,3.13,0.07,13.47,,
"2394    ",-118.24,33.65,"bath-120","M",,,"Z","Z","Z","Z","N","Z","N","Z",0.31,3.13,0.31,3.13,0.31,3.13,0.31,3.13,0.07,13.47,,
"2396    ",-118.14,33.64,"bath-120","M",,,"Z","Z","Z","Z","N","Z","N","Z",0.31,3.13,0.31,3.13,0.31,3.13,0.31,3.13,0.07,13.47,,
"2398    ",-118.14,33.61,"bath-120","M",,,"Z","Z","Z","Z","N","Z","N","Z",0.31,3.13,0.31,3.13,0.31,3.13,0.31,3.13,0.07,13.47,,
"2400    ",-118.09,33.60,"bath-120","M",,,"Z","Z","Z","Z","N","Z","N","Z",0.31,3.13,0.31,3.13,0.31,3.13,0.31,3.13,0.07,13.47,,
"2401    ",-117.95,33.59,"bath-120","M",,,"Z","Z","Z","Z","N","Z","N","Z",0.31,3.13,0.31,3.13,0.31,3.13,0.31,3.13,0.07,13.47,,
"2403    ",-117.80,33.51,"bath-120","M",,,"Z","Z","Z","Z","N","Z","N","Z",0.31,3.13,0.31,3.13,0.31,3.13,0.31,3.13,0.07,13.47,,
"2405    ",-117.55,33.29,"bath-120","M",,,"Z","Z","Z","Z","N","Z","N","Z",0.31,3.13,0.31,3.13,0.31,3.13,0.31,3.13,0.07,13.47,,
"2407    ",-117.52,33.26,"bath-120","M",,,"Z","Z","Z","Z","N","Z","N","Z",0.31,3.13,0.31,3.13,0.31,3.13,0.31,3.13,0.07,13.47,,
"2408    ",-117.36,33.10,"bath-120","M",,,"Z","Z","Z","Z","N","Z","N","Z",0.31,3.13,0.31,3.13,0.31,3.13,0.31,3.13,0.07,13.47,,
"2410    ",-117.35,32.77,"bath-120","M",,,"Z","Z","Z","Z","N","Z","N","Z",0.31,3.13,0.31,3.13,0.31,3.13,0.31,3.13,0.07,13.47,,
"2411    ",-117.34,32.75,"bath-120","M",,,"Z","Z","Z","Z","N","Z","N","Z",0.31,3.13,0.31,3.13,0.31,3.13,0.31,3.13,0.07,13.47,,
"2412    ",-117.29,32.72,"bath-120","M",,,"Z","Z","Z","Z","N","Z","N","Z",0.31,3.13,0.31,3.13,0.31,3.13,0.31,3.13,0.07,13.47,,
"2413    ",-117.27,32.69,"bath-120","M",,,"Z","Z","Z","Z","N","Z","N","Z",0.31,3.13,0.31,3.13,0.31,3.13,0.31,3.13,0.07,13.47,,
