"Labcode","QABatch","StationID","Parameter","Matrix","Dilution","Concentration","Timepoint","Qualifier","Value"
"NV","10198","2224","NH3U","EL",1.00,0.00,0.00,,0.16
"NV","10198","2224","NH3T","EL",1.00,0.00,0.00,,3.68
"NV","10198","2224","TEMP","EL",1.00,0.00,0.00,,20.90
"NV","10198","2224","SAL","EL",1.00,0.00,0.00,,34.00
"NV","10198","2224","PH","EL",1.00,0.00,0.00,,8.15
"NV","10198","2225","SAL","EL",1.00,0.00,0.00,,33.00
"NV","10198","2225","PH","EL",1.00,0.00,0.00,,8.27
"NV","10198","2225","TEMP","EL",1.00,0.00,0.00,,21.10
"NV","10198","2225","NH3T","EL",1.00,0.00,0.00,,14.80
"NV","10198","2225","NH3U","EL",1.00,0.00,0.00,,0.91
"NV","10198","2239","NH3T","EL",1.00,0.00,0.00,,3.54
"NV","10198","2239","NH3U","EL",1.00,0.00,0.00,,0.19
"NV","10198","2239","PH","EL",1.00,0.00,0.00,,8.23
"NV","10198","2239","SAL","EL",1.00,0.00,0.00,,33.00
"NV","10198","2239","TEMP","EL",1.00,0.00,0.00,,21.00
"NV","10198","2241","NH3U","EL",1.00,0.00,0.00,,0.38
"NV","10198","2241","TEMP","EL",1.00,0.00,0.00,,20.60
"NV","10198","2241","PH","EL",1.00,0.00,0.00,,8.26
"NV","10198","2241","NH3T","EL",1.00,0.00,0.00,,6.73
"NV","10198","2241","SAL","EL",1.00,0.00,0.00,,34.00
"NV","10198","2430","SAL","EL",1.00,0.00,0.00,,34.00
"NV","10198","2430","NH3U","EL",1.00,0.00,0.00,,0.34
"NV","10198","2430","TEMP","EL",1.00,0.00,0.00,,21.10
"NV","10198","2430","PH","EL",1.00,0.00,0.00,,8.27
"NV","10198","2430","NH3T","EL",1.00,0.00,0.00,,5.67
"NV","10198","2435","NH3U","EL",1.00,0.00,0.00,,0.73
"NV","10198","2435","NH3T","EL",1.00,0.00,0.00,,9.77
"NV","10198","2435","TEMP","EL",1.00,0.00,0.00,,21.20
"NV","10198","2435","SAL","EL",1.00,0.00,0.00,,33.00
"NV","10198","2435","PH","EL",1.00,0.00,0.00,,8.36
"NV","10298","2195","PH","EL",1.00,0.00,0.00,,8.22
"NV","10298","2195","SAL","EL",1.00,0.00,0.00,,32.00
"NV","10298","2195","TEMP","EL",1.00,0.00,0.00,,21.40
"NV","10298","2195","NH3T","EL",1.00,0.00,0.00,,3.75
"NV","10298","2195","NH3U","EL",1.00,0.00,0.00,,0.21
"NV","10298","2226","TEMP","EL",1.00,0.00,0.00,,20.70
"NV","10298","2226","NH3T","EL",1.00,0.00,0.00,,3.68
"NV","10298","2226","NH3U","EL",1.00,0.00,0.00,,0.09
"NV","10298","2226","PH","EL",1.00,0.00,0.00,,7.90
"NV","10298","2226","SAL","EL",1.00,0.00,0.00,,34.00
"NV","10298","2243","NH3U","EL",1.00,0.00,0.00,,0.15
"NV","10298","2243","NH3T","EL",1.00,0.00,0.00,,3.81
"NV","10298","2243","TEMP","EL",1.00,0.00,0.00,,21.20
"NV","10298","2243","SAL","EL",1.00,0.00,0.00,,32.00
"NV","10298","2243","PH","EL",1.00,0.00,0.00,,8.07
"AB","72798","0000","SAL","RT",0.00,0.00,0.00,,20.00
"AB","72798","0000","DO","RT",0.00,10.00,10.00,,7.80
"AB","72798","0000","SAL","OL",0.00,0.00,10.00,,22.00
"AB","72798","0000","NH3T","OL",0.00,0.00,0.00,"<",1.00
"AB","72798","0000","SAL","RT",0.00,10.00,0.00,,20.00
"AB","72798","0000","SAL","RT",0.00,5.60,0.00,,20.00
"AB","72798","0000","SAL","RT",0.00,3.20,0.00,,20.00
"AB","72798","0000","DO","RT",0.00,5.60,0.00,,7.90
"AB","72798","0000","SAL","RT",0.00,0.32,0.00,,20.00
"AB","72798","0000","DO","RT",0.00,1.00,10.00,,7.80
"AB","72798","0000","SAL","RT",0.00,0.00,10.00,,20.00
"AB","72798","0000","SAL","RT",0.00,0.32,10.00,,20.00
"AB","72798","0000","SAL","RT",0.00,1.00,10.00,,20.00
"AB","72798","0000","SAL","RT",0.00,5.60,10.00,,20.00
"AB","72798","0000","NH3T","OL",0.00,0.00,10.00,"<",1.00
"AB","72798","0000","SAL","OL",0.00,0.00,0.00,,20.00
"AB","72798","0000","DO","RT",0.00,10.00,0.00,,7.50
"AB","72798","0000","SAL","RT",0.00,1.00,0.00,,20.00
"AB","72798","0000","NH3T","RT",0.00,5.60,0.00,"<",1.00
"AB","72798","0000","PH","RT",0.00,0.00,10.00,,7.80
"AB","72798","0000","PH","RT",0.00,0.32,10.00,,7.90
"AB","72798","0000","PH","RT",0.00,1.00,10.00,,7.90
"AB","72798","0000","PH","RT",0.00,3.20,10.00,,7.90
"AB","72798","0000","PH","RT",0.00,5.60,10.00,,7.90
"AB","72798","0000","PH","RT",0.00,10.00,10.00,,7.80
"AB","72798","0000","DO","OL",0.00,0.00,10.00,,8.10
"AB","72798","0000","DO","RT",0.00,5.60,10.00,,7.80
"AB","72798","0000","NH3T","RT",0.00,10.00,0.00,"<",1.00
"AB","72798","0000","DO","RT",0.00,3.20,10.00,,7.80
"AB","72798","0000","NH3T","RT",0.00,3.20,0.00,"<",1.00
"AB","72798","0000","NH3T","RT",0.00,1.00,0.00,"<",1.00
