"StationID","Stratum","Location","Latitude","Longitude","BAYHARBORS","MARINAS","BATH6","BATH30","Bath120to200","Bath200to500","Bath500to1000","ESTUARY","ESTUARYLA","USGS","SPME","ChannelIslands","LPOTW","SPOTW","SMB_NEC","GrabAreaWeight","ToxAreaWeight","FishAssemblageAreaWeight","FishBioaccumAreaWeight","SPMEAreaWeight"
"0000","Special-QAQC",,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"3001","Special-EMAP","San Pedro Shelf",,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"4000","Mid-shelf (30-120 m)","South San Diego Shelf",32.55,-117.19,0.00,0.00,0.00,1.00,0.00,0.00,0.00,"0","0",0,4.00,0.00,0.00,0.00,0.00,55.67,105.11,61.24,125.58,0.00
"4001","Lower slope and basin (500-1000 m)","Orange Shelf",33.31,-118.16,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,221.76,0.00,0.00,0.00,0.00
"4002","LA Estuaries","San Gabriel River Estuary",33.75,-118.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","San Gabriel River Estuary",0,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.00,0.00
"4003","Small POTW Outfalls","Hueneme to Dume",34.12,-119.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,1.00,0.00,0.93,0.00,0.93,125.58,0.00
"4004","Outer shelf (120-200 m)","South San Diego Shelf",32.66,-117.34,0.00,0.00,0.00,0.00,1.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,20.43,105.11,15.59,125.58,0.00
"4005","Lower slope and basin (500-1000 m)","Hueneme to Dume",33.93,-118.89,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,221.76,0.00,0.00,0.00,0.00
"4006","Mid-shelf (30-120 m)","Santa Monica Bay",33.86,-118.44,0.00,0.00,0.00,1.00,0.00,0.00,0.00,"0","0",0,3.00,0.00,0.00,0.00,1.00,55.67,105.11,61.24,125.58,0.00
"4007","Upper slope (200-500 m)","West Santa Barbara Channel",34.36,-120.01,0.00,0.00,0.00,0.00,0.00,1.00,0.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,105.43,105.43,105.43,0.00,0.00
"4008","Estuaries","Santa Margarita River Estuary",33.22,-117.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Santa Margarita River Est","0",0,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.00,0.00
"4009","Lower slope and basin (500-1000 m)","Orange Shelf",33.46,-117.91,0.00,0.00,0.00,0.00,0.00,0.00,1.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,221.76,0.00,0.00,0.00,0.00
"4010","Marinas","Los Angeles Harbor",33.76,-118.24,0.00,1.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,0.49,0.49,2.50,0.00,0.00
"4011","Channel Islands (5-200 m)","Island Shelves",33.99,-119.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,1.00,0.00,0.00,0.00,37.75,37.75,37.75,0.00,0.00
"4012","Large POTW Outfalls","South San Diego Shelf",32.69,-117.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,1.00,0.00,0.00,5.01,0.00,5.01,125.58,0.00
"4013","LA Estuaries","Ballona Creek Estuary",33.98,-118.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","Ballona Creek Estuary",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"4014","LA Estuaries","Dominguez Channel",33.82,-118.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","Dominguez Channel",0,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00
"4015","Mid-shelf (30-120 m)","East Santa Barbara Channel",34.33,-119.74,0.00,0.00,0.00,1.00,0.00,0.00,0.00,"0","0",0,2.00,0.00,0.00,0.00,0.00,55.67,105.11,0.00,0.00,0.00
"4016","Marinas","North San Diego Shelf",33.21,-117.40,0.00,1.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,0.49,0.49,2.50,0.00,0.00
"4017","Estuaries","Upper Newport Bay",33.64,-117.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Upper Newport Bay","0",0,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.00,0.00,0.00
"4018","Marinas","Alamitos Bay",33.75,-118.12,0.00,1.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,0.49,0.49,2.50,0.00,0.00
"4019","Mid-shelf (30-120 m)","East Santa Barbara Channel",34.23,-119.51,0.00,0.00,0.00,1.00,0.00,0.00,0.00,"0","0",0,2.00,0.00,0.00,0.00,0.00,55.67,105.11,61.24,125.58,0.00
"4020","Ports/Bays/Harbors","Mission Bay",32.76,-117.24,1.00,0.00,0.00,0.00,0.00,0.00,0.00,"0","0",0,0.00,0.00,0.00,0.00,0.00,2.73,2.82,2.50,0.00,0.00
"4021","Mid-shelf (30-120 m)","Santa Monica Bay",33.92,-118.48,0.00,0.00,0.00,1.00,0.00,0.00,0.00,"0","0",0,3.00,0.00,0.00,0.00,1.00,55.67,105.11,61.24,125.58,0.00
